country code,Country,World region,Survey,Year,Headship,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,,In severe poverty,Year of the survey,Population 2020,Population 2021,Population share by headship,Population size by headship,Number of MPI poor by headship
AFG,Afghanistan,South Asia,DHS,2015-2016,female-headed,0.203,42.93,47.24,16.34,17.66,34636,38972,40099,1.36,543,233
AFG,Afghanistan,South Asia,DHS,2015-2016,male-headed,0.273,56.09,48.61,18.16,24.96,34636,38972,40099,98.64,39556,22186
ALB,Albania,Europe and Central Asia,DHS,2017-2018,female-headed,0.005,1.42,37.15,5.83,0.08,2877,2867,2855,12.52,357,5
ALB,Albania,Europe and Central Asia,DHS,2017-2018,male-headed,0.002,0.59,39.48,4.93,0.06,2877,2867,2855,87.48,2497,15
DZA,Algeria,Arab States,MICS,2018-2019,female-headed,0.003,0.77,35.62,4.03,0.05,42705,43452,44178,8.15,3600,28
DZA,Algeria,Arab States,MICS,2018-2019,male-headed,0.006,1.43,39.34,3.57,0.22,42705,43452,44178,91.85,40578,582
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,female-headed,0.303,53.91,56.19,13.43,36.25,29155,33428,34504,29.44,10157,5475
AGO,Angola,Sub-Saharan Africa,DHS,2015-2016,male-headed,0.274,49.94,54.85,16.43,30.88,29155,33428,34504,70.56,24347,12160
ARG,Argentina,Latin America and the Caribbean,MICS,2019-2020,female-headed,0.002,0.59,33.57,1.78,0,45036,45036,45277,49.2,22275,132
ARG,Argentina,Latin America and the Caribbean,MICS,2019-2020,male-headed,0.001,0.28,34.85,1.52,0.01,45036,45036,45277,50.8,23002,64
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,female-headed,0.001,0.27,36.03,2.5,0,2866,2806,2791,26.28,734,2
ARM,Armenia,Europe and Central Asia,DHS,2015-2016,male-headed,0.001,0.16,36.33,2.88,0,2866,2806,2791,73.72,2057,3
BGD,Bangladesh,South Asia,MICS,2019,female-headed,0.106,25.24,42.11,17.63,5.76,165516,167421,169356,9.37,15867,4005
BGD,Bangladesh,South Asia,MICS,2019,male-headed,0.104,24.58,42.24,18.27,6.55,165516,167421,169356,90.63,153489,37726
BRB,Barbados,Latin America and the Caribbean,MICS,2012,female-headed,0.01,3.01,33.47,0.5,0,276,281,281,50.1,141,4
BRB,Barbados,Latin America and the Caribbean,MICS,2012,male-headed,0.007,1.97,35.41,0.48,0,276,281,281,49.9,140,3
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,female-headed,0.008,2.11,38.28,7.92,0.19,367,395,400,31.57,126,3
BLZ,Belize,Latin America and the Caribbean,MICS,2015-2016,male-headed,0.021,5.32,40.03,8.57,0.83,367,395,400,68.43,274,15
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,female-headed,0.33,63.3,52.17,17.3,34.78,11941,12643,12997,18.99,2468,1562
BEN,Benin,Sub-Saharan Africa,DHS,2017-2018,male-headed,0.376,67.62,55.67,14.07,42.38,11941,12643,12997,81.01,10529,7120
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,female-headed,0.037,8.67,42.41,11.49,1.78,11263,11936,12079,23.28,2812,244
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,male-headed,0.038,9.17,41.46,12.33,1.96,11263,11936,12079,76.72,9268,850
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,female-headed,0.01,2.68,36.9,9.81,0.12,3674,3318,3271,12.69,415,11
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2011-2012,male-headed,0.008,2.12,38.12,3.24,0.05,3674,3318,3271,87.31,2856,61
